"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Inulin|Concentration in container [µmol/l]"
0,137.1,8.839705
0,137.4,8.793061
0,137.7,8.746666
0,138,8.70052
0,138.3,8.654618
0,138.6,8.608963
0,138.9,8.56355
0,139.2,8.51838
0,139.5,8.473451
0,139.8,8.428761
0,140.1,8.38431
0,140.4,8.340096
0,140.7,8.296117
0,141,8.252372
0,141.3,8.20886
0,141.6,8.165581
0,141.9,8.122532
0,142.2,8.079711
0,142.5,8.037119
0,142.8,7.994754
0,143.1,7.952613
0,143.4,7.910699
0,143.7,7.869009
0,144,7.827539
0,144.3,7.786292
0,144.6,7.745263
0,144.9,7.704453
0,145.2,7.663859
0,145.5,7.623482
0,145.8,7.58332
0,146.1,7.543372
0,146.4,7.503635
0,146.7,7.46411
0,147,7.424796
0,147.3,7.38569
0,147.6,7.346792
0,147.9,7.308101
0,148.2,7.269615
0,148.5,7.231334
0,148.8,7.193256
0,149.1,7.155381
0,149.4,7.117706
0,149.7,7.080232
0,150,7.042956
0,150.3,7.005878
0,150.6,6.968997
0,150.9,6.932312
0,151.2,6.895823
0,151.5,6.859528
0,151.8,6.823425
0,152.1,6.787514
0,152.4,6.751794
0,152.7,6.716263
0,153,6.680921
0,153.3,6.645766
0,153.6,6.610798
0,153.9,6.576015
0,154.2,6.541418
0,154.5,6.507003
0,154.8,6.472771
0,155.1,6.438721
0,155.4,6.404851
0,155.7,6.371161
0,156,6.337649
0,156.3,6.304315
0,156.6,6.271158
0,156.9,6.238176
0,157.2,6.205369
0,157.5,6.172737
0,157.8,6.140277
0,158.1,6.107989
0,158.4,6.075873
0,158.7,6.043927
0,159,6.01215
0,159.3,5.980541
0,159.6,5.9491
0,159.9,5.917825
0,160.2,5.886716
0,160.5,5.855772
0,160.8,5.824993
0,161.1,5.794375
0,161.4,5.76392
0,161.7,5.733627
0,162,5.703494
0,162.3,5.67352
0,162.6,5.643705
0,162.9,5.614048
0,163.2,5.584548
0,163.5,5.555205
0,163.8,5.526016
0,164.1,5.496983
0,164.4,5.468102
0,164.7,5.439375
0,165,5.4108
0,165.3,5.382376
0,165.6,5.354103
0,165.9,5.325979
0,166.2,5.298004
0,166.5,5.270177
0,166.8,5.242497
0,167.1,5.214963
0,167.4,5.187576
0,167.7,5.160333
0,168,5.133234
0,168.3,5.106279
0,168.6,5.079466
0,168.9,5.052795
0,169.2,5.026265
0,169.5,4.999876
0,169.8,4.973625
0,170.1,4.947514
0,170.4,4.921541
0,170.7,4.895705
0,171,4.870005
0,171.3,4.844441
0,171.6,4.819013
0,171.9,4.793719
0,172.2,4.768559
0,172.5,4.743531
0,172.8,4.718636
0,173.1,4.693872
0,173.4,4.66924
0,173.7,4.644738
0,174,4.620366
0,174.3,4.596122
0,174.6,4.572007
0,174.9,4.548019
0,175.2,4.524158
0,175.5,4.500423
0,175.8,4.476813
0,176.1,4.453328
0,176.4,4.429967
0,176.7,4.40673
0,177,4.383615
0,177.3,4.360623
0,177.6,4.337752
0,177.9,4.315001
0,178.2,4.292371
0,178.5,4.269861
0,178.8,4.247469
0,179.1,4.225195
0,179.4,4.203039
0,179.7,4.181
0,180,4.159077
